ID,Name,Description,Event Type,Event Type List,Guest ID,Dangerous,Guest Amount,Protagonist ID,Antagonist ID,Adventure Character ID,Image ID,Chapter,Authorship Resource
EV_016,Twins and Tales,"In the <a class=""salsah-link"" href=""IRI:L_026:IRI"">woods</a>, Alice meets the identical twins Tweedledum and Tweedledee, who engage in a nonsensical argument. She watches as Tweedledum and Tweedledee prepare to fight over a broken rattle.",Conflict,Confrontation,,,,CH_044,CH_044,,I_061,Looking-Glass_4,"Daniela Subotic, Noémi Villars-Amberg"
EV_018,Humpty Dumpty's fall,"Alice converses with Humpty Dumpty about language and meaning before he falls off the<a class=""salsah-link"" href=""IRI:L_028:IRI"">wall</a>.",Conflict,Major Incident,,,,CH_001,CH_012,,,Looking-Glass_6,"Daniela Subotic, Noémi Villars-Amberg"
EV_019,Royal battle,"Alice witnesses a battle between the Lion and the Unicorn for the crown on a <a class=""salsah-link"" href=""IRI:L_029:IRI"">playground</a>.",Conflict,Confrontation,,,,CH_053,CH_054,,I_078,Looking-Glass_7,"Daniela Subotic, Noémi Villars-Amberg"
EV_034,Chaotic dinner party with the queens,Queen Alice attends a dinner party with the Red Queen and White Queen that descends into chaos.,Conflict,Major Incident,,,,CH_001,"CH_049, CH_011",,I_089,"Looking-Glass_10, Looking-Glass_11","Daniela Subotic, Noémi Villars-Amberg"
EV_036,Queen of Hearts gets challenged,"Alice defies the Queen of Hearts and grows to her full size, disrupting the trial.",Conflict,Confrontation,,,,CH_001,CH_006,,,Wonderland_12,"Daniela Subotic, Noémi Villars-Amberg"
EV_037,Red Queen gets shaked into a kitten,"Alice grabs the Red Queen, who turns into her black kitten as she wakes up from the dream.",Conflict,Confrontation and Transformation,,,,CH_001,CH_049,,"I_090, I_091",Looking-Glass_11,"Daniela Subotic, Noémi Villars-Amberg"
EV_004,Caucus Race,"On the <a class=""salsah-link"" href=""IRI:L_005:IRI"">shore</a>, Alice joins a group of animals in a nonsensical race where everyone wins.",Social,Encounter,"CH_001, CH_015, CH_022, CH_023, CH_021, CH_014",,6,,,,,Wonderland_3,"Daniela Subotic, Noémi Villars-Amberg"
EV_006,Caterpillar’s Wisdom,"Alice encounters a Caterpillar sitting on a <a class=""salsah-link"" href=""IRI:L_014:IRI"">mushroom</a> who gives her cryptic advice about growing and shrinking.",Social,Encounter,"CH_001, CH_003",,2,,,,I_015,Wonderland_5,"Daniela Subotic, Noémi Villars-Amberg"
EV_008,Mad Tea-Party,"In a weird <a class=""salsah-link"" href=""IRI:L_007:IRI"">Tea room</a>, Alice attends a chaotic tea party with the Mad Hatter, the March Hare, and Dormouse.",Social,Encounter,"CH_001, CH_004, CH_007, CH_018",,4,,,,"I_025, I_026, I_027",Wonderland_7,"Daniela Subotic, Noémi Villars-Amberg"
EV_009,Croquet game,"On the <a class=""salsah-link"" href=""IRI:L_022:IRI"">Queen of Heart's ground</a>, Alice plays a chaotic game of croquet with the Queen of Hearts using flamingos and hedgehogs.",Social,Encounter,"CH_001, CH_006, CH_036",,3,,,,"I_030, I_032",Wonderland_8,"Daniela Subotic, Noémi Villars-Amberg"
EV_010,Turtle Tales and Dance,"The Mock Turtle and the Gryphon tell Alice strange stories and perform the Lobster Quadrille on the <a class=""salsah-link"" href=""IRI:L_018:IRI"">beach</a>",Social,Encounter,"CH_001, CH_009, CH_010",,3,,,,"I_034, I_035",Wonderland_9,"Daniela Subotic, Noémi Villars-Amberg"
EV_017,Alice meets the White Queen,"Alice meets the White Queen, who explains the backward nature of Looking-Glass Land, while changing from a river to a <a class=""salsah-link"" href=""IRI:L_025:IRI"">sheep shop</a> and back.",Social,Encounter,"CH_001, CH_049",,2,,,,"I_068, I_069, I_070",Looking-Glass_5,"Daniela Subotic, Noémi Villars-Amberg"
EV_020,Knightly Assistance,"On a <a class=""salsah-link"" href=""IRI:L_030:IRI"">path</a>, Alice is helped by the White Knight, who shares stories of his inventions.",Social,Assistance,"CH_001, CH_013",,2,,,,I_081,Looking-Glass_8,"Daniela Subotic, Noémi Villars-Amberg"
EV_022,Queenly Quiz,"Alice has a nonsensical conversation with the Red Queen and White Queen, who quiz her.",Social,Challenge,"CH_001, CH_011, CH_049",,3,,,,,Looking-Glass_10,"Daniela Subotic, Noémi Villars-Amberg"
EV_023,Banquet Bedlam,Alice attends a chaotic dinner party with the Red Queen and White Queen.,Social,Encounter,"CH_001, CH_011, CH_049",,3,,,,"I_085, I_086",Looking-Glass_9,"Daniela Subotic, Noémi Villars-Amberg"
EV_026,Alice meets Humpty Dumpty,"Alice meets Humpty Dumpty, who sits on a <a class=""salsah-link"" href=""IRI:L_028:IRI"">wall</a> and explains his views on language.",Social,Encounter,"CH_001, CH_012",,2,,,,,Looking-Glass_6,"Daniela Subotic, Noémi Villars-Amberg"
EV_027,Alice meets the Cheshire Cat,"<a class=""salsah-link"" href=""IRI:L_003:IRI"">At the Duchess</a>, Alice meets the Cheshire Cat, who gives her cryptic advice.",Social,Encounter,"CH_001, CH_005",,2,,,,"I_023, I_024",Wonderland_6,"Daniela Subotic, Noémi Villars-Amberg"
EV_028,Alice meets the Playing Cards,"Alice meets living playing cards in <a class=""salsah-link"" href=""IRI:L_013:IRI"">Queen's garden</a>, who paint roses red to avoid the Queen of Hearts's wrath.",Social,Encounter,"CH_001, CH_035, CH_006",,3,,,,I_028,Wonderland_8,"Daniela Subotic, Noémi Villars-Amberg"
EV_029,Alice meets the Red Queen,"Arriving on a <a class=""salsah-link"" href=""IRI:L_024:IRI"">chessboard landscape</a>, Alice meets the Red Queen, who explains the rules of the chess game.",Social,Encounter,"CH_001, CH_011",,2,,,,I_053,Looking-Glass_2,"Daniela Subotic, Noémi Villars-Amberg"
EV_030,Alice meets the White King and his soldiers,"Alice meets the White King and his soldiers, who are busy preparing for battle.",Social,Encounter,"CH_001, CH_047",,2,,,,,Looking-Glass_7,"Daniela Subotic, Noémi Villars-Amberg"
EV_031,Alice meets the White Rabbit in his house,"Alice follows the White Rabbit to his <a class=""salsah-link"" href=""IRI:L_004:IRI"">house</a> and meets him there.",Social,Encounter,"CH_001, CH_002",,2,,,,,Wonderland_4,"Daniela Subotic, Noémi Villars-Amberg"
EV_038,White Knight gets help,"Alice helps the White Knight, who is clumsy and constantly falling off his horse.",Social,Assistance,"CH_001, CH_013",,2,,,,I_082,Looking-Glass_8,"Daniela Subotic, Noémi Villars-Amberg"
